name,author,publication,year,classificationem,keywords
交互式农业气象服务系统平台的建设研究,朱叶 马志强 马士钦,《山西科技》,年  卷 期：2019年第34卷第5期,[农学],互联网 交互式系统 农业气象服务
印度夏季风影响下的青藏高原降水及环流异常变化特征,孙亦 巩远发,《成都信息工程大学学报》,年  卷 期：2019年第34卷第4期,[理学-大气科学类],气象学 气象与气候 印度夏季风 青藏高原 南亚高压 降水异常
利用Ka波段毫米波雷达功率谱反演云降水大气垂直速度和雨滴谱分布研究,马宁堃 刘黎平 郑佳锋,《高原气象》,年  卷 期：2019年第38卷第2期,[理学-大气科学类],小粒子示踪法 毫米波雷达 功率谱 大气垂直速度 雨滴谱分布
CMIP5多模式下的ENSO模拟评估及非对称性特征分析,张凯锋 曹宁 张敏,《成都信息工程大学学报》,年  卷 期：2019年第34卷第3期,[理学-大气科学类],大气物理学与大气环境 气候模拟 ENSO CMIP5模式
成都积雨云形成的层结条件分析,尹舒悦 周筠珺 高志博 于灏 白舸 胡丹,《成都信息工程大学学报》,年  卷 期：2019年第2期,[理学-大气科学类],大气物理 积雨云 大气层结 对流指数 西南涡 切变线
常规气象格点数据规范化格式的研究,舒红平 沈晨笛 张殿超,《环境与发展》,年  卷 期：2019年第31卷第6期,[工学-环境科学与工程类],气象格点数据 规范化数据格式
基于湿位涡与螺旋度的一次西南低涡强降水分析,吴秋月 华维 申辉 李佩芝 王星,《成都信息工程大学学报》,年  卷 期：2019年第1期,[理学-大气科学类],气象学 高原气象 西南低涡 强降水 湿位涡 螺旋度
大气科学类研究生校内实践基地的建设与探索,华维,《实验技术与管理》,年  卷 期：2019年第36卷第2期,[理学-大气科学类],气象行业 大气科学类研究生 实践基地建设
基于改进遥感蒸散模型的西南地表蒸散研究,于静 柳锦宝 姚云军 刘志红,《人民长江》,年  卷 期：2019年第50卷第1期,[理学-大气科学类],遥感蒸散模型 地表蒸散 精度验证 西南地区
川西地区空气污染特征及气象影响因素分析,常美玉 向卫国,《成都信息工程大学学报》,年  卷 期：2019年第1期,[工学-环境科学与工程类],环境科学 大气污染 污染特征 气象因素 川西地区
新一代天气雷达灯丝及磁场电源组件故障快速检修技术研究,姜小云 王天宝 张永莉,《国外电子测量技术》,年  卷 期：2019年第38卷第5期,[工学-电子信息类],新一代天气雷达 灯丝电源组件 磁场电源组件 快速检修
人群的自然和社会属性分类下PM2.5对心血管疾病的影响,龚天宜 孙兆彬 张小玲 王式功,《中国环境科学》,年  卷 期：2019年第39卷第3期,[医学-临床医学类],不同人群 细颗粒物 心血管疾病 时间序列 效应修饰作用
基于“3S”技术的高炮人影作业安全射界图设计与实现,王勤 傅郁婷 祁红彦,《成都信息工程大学学报》,年  卷 期：2019年第2期,[理学-大气科学类],“3S”技术 高炮 安全射界 人影作业
1965—2017年东江中上游流域气温变化特征分析,曾钦文 潘心顺 魏璐 董彤,《气象与减灾研究》,年  卷 期：2019年第42卷第1期,[理学-大气科学类],气温变化 时空分布 线性趋势 突变检验 东江中上游
2014年冬季至2017年春季干、湿西南涡活动对四川盆地空气污染影响的对比研究,苏秋芳 冯鑫媛 韩晶晶 卢山 王式功,《气象与环境科学》,年  卷 期：2019年第42卷第3期,[工学-环境科学与工程类],干、湿西南涡 四川盆地 空气污染 污染气象参数
广东省大冰雹事件的层结特征与融化效应,曾智琳 谌芸 朱克云 李晟祺,《大气科学》,年  卷 期：2019年第43卷第3期,[理学-大气科学类],大冰雹事件 大气层结特征 融化效应 物理参数模型
华南地区7—10月两类区域性极端降水事件特征及环流异常对比,孙婧超 管兆勇 李明刚 于亚鑫,《气象学报》,年  卷 期：2019年第77卷第1期,[理学-大气科学类],华南地区 区域性日降水极端事件 环流异常 热带气旋
基于L波段秒级探空数据V-3θ图形的四川盆地暴雨预报模型研究,青泉 罗辉 陈刚毅,《成都信息工程大学学报》,年  卷 期：2019年第2期,[理学-大气科学类],气象学 短期天气预报 L波段秒级探空 V-3θ图形 暴雨预报模型
气候变化对玉米气候生产潜力的影响,赵放 李秀芬 林伟楠 赵慧颖,《农业工程》,年  卷 期：2019年第9卷第8期,[农学],气候变化 玉米产量 气候生产潜力 气候地理 黑龙江
基于Cortex-A7新型地面气象观测综合集成硬件设计,徐意泊 杨笔锋 詹艳军 马尚昌,《成都信息工程大学学报》,年  卷 期：2019年第34卷第4期,[理学-大气科学类],地面气象观测 Cortex-A7 硬件设计 嵌入式
Redis缓存技术在自动气象站资料调用中的优化应用,詹利群 程海林 任晓炜,《计算机系统应用》,年  卷 期：2019年第28卷第5期,[理学-大气科学类],Redis 缓存技术 自动气象站资料 优化应用
龙滩库区2017年4月20-21日降水过程人工增雨条件分析,黄冬梅 朱麟 韦家宝 黄肖寒 赖晟,《气象研究与应用》,年  卷 期：2019年第40卷第1期,[理学-大气科学类],库区 人工增雨 天气条件
1961-2014年中国大陆舒适度时空变化,乐满 王式功 张志薇 马盼 李海飞 尚可政,《兰州大学学报：自然科学版》,年  卷 期：2019年第4期,[理学-大气科学类],人体舒适度 时空分布 黄金分割率 广义舒适域
寒地玉米生产热量利用效率潜力演变特征,赵放 王锐 赵慧颖 李秀芬 林伟楠 田宝星,《玉米科学》,年  卷 期：2019年第27卷第3期,[农学],玉米 气候资源 生产潜力 黑龙江 热量利用效率
2013年7月21-22日陕西省大暴雨天气诊断分析,干全,《成都信息工程大学学报》,年  卷 期：2019年第1期,[理学-大气科学类],天气动力学 暴雨诊断 湿位涡 水汽收支
基于T639集合预报的我国2016年极端温度预报检验,郑嘉雯 高丽 任宏利 陈权亮 蔡宏珂,《气象》,年  卷 期：2019年第45卷第4期,[理学-大气科学类],T639集合预报 极端高温 极端低温 模式 检验
基于欧姆定律的土壤电离临界电场强度估计,巴文学 王川 陈雪 张红萍,《中国标准化》,年  卷 期：2019年第4期,[农学],临界电场强度 欧姆定律
基于路径相似的登陆热带气旋降水之动力-统计集合预报模型,丁晨晨 任福民 邱文玉 李国平 吴立广 蒋贤玲,《气象》,年  卷 期：2019年第45卷第1期,[理学-大气科学类],登陆热带气旋 定量降水预报(QPF) 路径相似 动力统计 集合预报
拉萨市近54年气温变化特征,汤彬 肖国杰 邬亮,《成都信息工程大学学报》,年  卷 期：2019年第1期,[理学-大气科学类],应用气象学 气候变化 拉萨市 气温变化 气候周期 平均最高气温 平均最低气温
基于双偏振雷达参量的层状云零度层亮带识别研究,冯小真 肖辉 孙跃 姚振东,《成都信息工程大学学报》,年  卷 期：2019年第34卷第4期,[理学-大气科学类],X波段双偏振雷达 质量控制 零度层 亮带识别
一种新的气象数据分析和误差诊断方法,贺南 文斌 陈乐 李嘉乐,《成都信息工程大学学报》,年  卷 期：2019年第34卷第4期,[理学-大气科学类],日最低气温 差值 多要素 关联 规律 验证
新形势下构建农村公共气象服务体系的研究,唐双双,《现代信息科技》,年  卷 期：2019年第18期,[农学],农村振兴战略 农村公共服务保障 农村公共气象
静稳气象条件下的细颗粒物垂直结构特征研究,李昕翼 倪长健 朱育雷,《环境污染与防治》,年  卷 期：2019年第41卷第3期,[工学-环境科学与工程类],静稳气象条件 大气消光系数 细颗粒物 垂直结构 高斯误差函数
甘肃省近67年沙尘天气时空特征分析,车玉川 杨建才 惠志红,《甘肃科技》,年  卷 期：2019年第35卷第2期,[理学-大气科学类],气象学 沙尘 甘肃地区 时空特征
2016年1月中国东部一次极寒天气过程的诊断分析,王亦平 其美旺珍,《成都信息工程大学学报》,年  卷 期：2019年第34卷第3期,[理学-大气科学类],气象学 天气分析与预报 极寒天气 急流 位涡 后向轨迹法
人影高炮弹丸高空爆炸点定位方法,王勤 刘文博 文斌 贺南,《成都信息工程大学学报》,年  卷 期：2019年第34卷第4期,[理学-大气科学类],声源定位 人影高炮弹丸 双直角阵
黑龙江省旱作玉米生产降水利用效率潜力演变特征,赵放 王锐 田宝星 赵慧颖 林伟楠 李秀芬,《水土保持研究》,年  卷 期：2019年第26卷第2期,[农学],气候资源 生产潜力 旱作玉米 黑龙江 降水利用效率
成都地区一次超级单体风暴的观测分析与数值模拟,高志博 周筠珺 尹舒悦 于灏 胡丹 白舸 刘思畅,《成都信息工程大学学报》,年  卷 期：2019年第34卷第4期,[理学-大气科学类],天气学 中尺度气象 超级单体 成都地区 观测分析 数值模拟
攀西地区烤烟气候减产风险分析和区划,金垚 张玉芳 刘琰琰 上官昌贵,《江苏农业科学》,年  卷 期：2019年第47卷第16期,[农学],攀西地区 烤烟 气候减产 风险区划
新一代天气雷达机外信号源远程控制技术研究,姜小云 李昭春 张永莉,《计算机测量与控制》,年  卷 期：2019年第9期,[工学-电子信息类],新一代天气雷达 机外信号源 远程控制
热指数对阜南地区呼吸系统疾病的影响,赵笑颜 张渊 黎檀实 李亚鹏 尹岭 尚可政 王式功,《兰州大学学报. 自然科学版;兰州大学学报：自然科学版》,年  卷 期：2019年第55卷第1期,[医学-临床医学类],呼吸系统疾病 热指数 滞后性 非线性 关联性
一次西南涡过程的云-降水毫米波云雷达回波特征分析,王雨歌 郑佳锋 朱克云 张杰 莫环瑞,《成都信息工程大学学报》,年  卷 期：2019年第2期,[理学-大气科学类],气象学 雷达气象学 毫米波云雷达 西南涡 垂直结构和微观特征
1961—2017年青海东部农业区春季第一场透雨变化特征分析,晁红艳 袁志强 祁栋林 张娟,《中国农学通报》,年  卷 期：2019年第35卷第4期,[农学],东部农业区 第一场透雨 开始日期 特征分析
北京臭氧污染特征及污染气象条件分析,崔萌 安兴琴 孙兆彬 王宝珍 王超 任文辉 李颜君,《三峡生态环境监测》,年  卷 期：2019年第4卷第3期,[工学-环境科学与工程类],臭氧 污染特征 污染气象条件 北京地区
井冈山避暑旅游气候条件浅析,李强 龙啸游,《当代旅游》,年  卷 期：2019年第8期,[理学-大气科学类],避暑 旅游 气候资源 井冈山
基于NCEP-GEFS回算资料的我国极端温度变化特征研究,高丽 任宏利 郑嘉雯 陈权亮,《大气科学学报》,年  卷 期：2019年第42卷第1期,[理学-大气科学类],NCEP-GEFS 集合预报 极端温度 回报 变化特征
基于图形处理器的涪江中段流域降雨汇流模拟方法研究,吕朝阳 陈军 刘意 孙伟 肖俊文,《成都信息工程大学学报》,年  卷 期：2019年第34卷第3期,[工学-水利类],图形处理器通用计算 汇流模型 稳定水源 前期水环境 涪江中段 3S集成与气象应用 气象地理信息系统工程
基于小波去噪的称重雨量数据分析,卢勇 卢会国 蒋娟萍,《成都信息工程大学学报》,年  卷 期：2019年第1期,[理学-大气科学类],信号处理 称重雨量 小波滤波 数据分析 去噪
“3·23”云南省景谷傣族彝族自治县冰雹灾害天气原因分析,徐八林 陆鹏 王欣 陈卓 徐舒扬 周德丽,《灾害学》,年  卷 期：2019年第34卷第2期,[理学-大气科学类],冰雹灾害 观测资料 特征分析 预警指标 云南景谷县
南海夏季风强度潜在可预报性的年代际变化及可能原因,李娇 丁瑞强 吴志伟 秦箭煌 李保生,《气候与环境研究》,年  卷 期：2019年第24卷第3期,[理学-大气科学类],南海夏季风强度 信噪比 潜在可预报性 年代际变化
1980～2016年陕西省冬季霾日数时空变化及增多成因初探,黄鑫 李亚丽 王靖中 陆志武 巩远发 刘源 曹波 胡皓 吕丹 胡诚,《中国环境科学》,年  卷 期：2019年第9期,[工学-环境科学与工程类],霾 工业化 气溶胶光学厚度 陕西省 位温
基于水土耦合物理机制的区域滑坡概率预报技术研究,徐辉 张少杰 黎力 刘敦龙,《灾害学》,年  卷 期：2019年第4期,[理学-地质学],"滑坡,水土耦合 物理机制 概率预报 MontE-Carlo 定量降水估测(QPE) 定量降水预报(QPF)"
夏季亚洲—太平洋涛动与东亚气候异常的关系,王星 华维,《成都信息工程大学学报》,年  卷 期：2019年第34卷第4期,[理学-大气科学类],气象学 气候变化 亚洲—太平洋涛动 东亚夏季风
基于TRIZ理论气温传感器检定辅助设备创新设计,张晶瑜 黄小静,《成都信息工程大学学报》,年  卷 期：2019年第2期,[工学-自动化类],TRIZ理论 物-场模型 技术冲突矩阵 气温传感器
西藏自治区农业气象灾害WebGIS平台的设计与实现,熊俊楠 刘志奇 刘敦龙 范春捆 冷小鹏,《测绘与空间地理信息》,年  卷 期：2019年第42卷第5期,[农学],西藏 农业气象灾害 数据库系统 地理信息系统 预测
青藏高原5—10月地表潜热通量与青海同期降水之间的关系,祁艳 颜玉倩 李金海 陈汶江,《干旱区研究》,年  卷 期：2019年第36卷第3期,[理学-大气科学类],地表潜热通量 降水 南亚高压 大气环流 青海 青藏高原
清城区火龙果种植适宜性分析与区划,彭窈 杨鑑斌 林雪仪,《安徽农业科学》,年  卷 期：2019年第47卷第3期,[农学],火龙果 种植适宜性 区划 农业气象
玛曲高寒草甸夏季近地层微气象和CO2通量特征分析,张懿 文小航 王少影 尚伦宇 张宇,《冰川冻土》,年  卷 期：2019年第41卷第1期,[理学-大气科学类],黄河源区 高寒草甸 能量平衡 CO_2通量
一次致灾区域性大暴雨成因分析,吴雪,《河南科技》,年  卷 期：2019年第1期,[理学-大气科学类],区域性大暴雨 副热带高压 江淮切变线 超低空南风急流
基于GF-1数据的三峡库区水体信息精细化提取,张德军 杨世琦 王永前 郑伟,《人民长江》,年  卷 期：2019年第50卷第9期,[工学-自动化类],水体信息 精细化提取 GF-1 支持向量机 三峡库区
东亚梅雨季低频波波包传播特征,廖洪涛 肖天贵 魏微 柳晓庆,《成都信息工程大学学报》,年  卷 期：2019年第2期,[理学-大气科学类],气象学 东亚季风 低频振荡 南海夏季风 波包传播诊断 梅雨异常
新疆雷暴气候特征及其与地闪密度关系分析,王延慧 张建涛 何清 韩雪云 于晓晶 焦阳 钱勇,《成都信息工程大学学报》,年  卷 期：2019年第2期,[理学-大气科学类],雷电科学与技术 雷电预警预报 雷暴 气候特征 地闪密度 新疆
基于图形学的致旱天气系统自动识别技术,邵建 胡文东 杨有林 裴晓蓉 郑鹏徽,《干旱区研究》,年  卷 期：2019年第36卷第3期,[理学-大气科学类],天气系统 图形化 自动识别 追踪算法
1986—2016年辽宁省强降水气候特征,白志娜 肖天贵 安娟 黄荟羽 张云霞 高凌峰,《沙漠与绿洲气象》,年  卷 期：2019年第13卷第3期,[理学-大气科学类],强降水 时空特征 降雨强度
高原和盆地间山谷风对四川霾日变化的影响分析,陈玉蓉 宋美洋 侯劭禹 顾建峰 刘海文,《成都信息工程大学学报》,年  卷 期：2019年第34卷第4期,[工学-环境科学与工程类],气象学 数值模拟 山谷风 霾 日变化 四川盆地
四川盆区冬小麦灌浆结实期阴雨寡照空间分布特征,金垚 郭艺媛 刘琰琰 上官昌贵 张玉芳 王锐婷,《湖北农业科学》,年  卷 期：2019年第17期,[农学],冬小麦（Triticum aestivum L．） 灌浆结实期 阴雨寡照 灾害 空间分布
一种改进型的垂直积分液态水含量算法的研究及实现,雷永恒 苏德斌 胡坚,《气象水文海洋仪器》,年  卷 期：2019年第36卷第2期,[理学-大气科学类],新一代天气雷达 基数据读取方法 垂直积分液态水含量 VIL算法
大气非绝热加热作用的研究进展与展望,姚秀萍 闫丽朱 张硕,《气象》,年  卷 期：2019年第45卷第1期,[理学-大气科学类],非绝热加热 作用 研究进展 展望
京津冀地区低层局地大气环流的气候特征研究,曾佩生 朱蓉 范广洲 李泽椿 王月冬,《气象》,年  卷 期：2019年第45卷第3期,[理学-大气科学类],局地风场表征风速 山谷风环流 中尺度数值模拟 大气污染输送
阵列天气雷达设计与初步实现,马舒庆 陈洪滨 王国荣 甄小琼 许晓平 李思腾,《应用气象学报》,年  卷 期：2019年第30卷第1期,[理学-大气科学类],阵列天气雷达 相控阵天气雷达 风场 网络化天气雷达 回波强度
近50年内蒙古夏季降水气候特征分析,庞波 毛文书 张禄英,《成都信息工程大学学报》,年  卷 期：2019年第34卷第4期,[理学-大气科学类],气象学 夏季降水 气候特征 时空演变 内蒙古
2017年7月吉林永吉两次极端强降水过程的对比分析,于佳含 巩远发 毛文书,《成都信息工程大学学报》,年  卷 期：2019年第34卷第3期,[理学-大气科学类],气象学 天气诊断 东北冷涡 暴雨 高低空急流 物理量 TBB
哈尔滨地区雷电日数的演变特征,吕东波 林伟楠 田宝星 王湘玉,《中国农学通报》,年  卷 期：2019年第23期,[理学-大气科学类],雷暴 时空分布 气候趋势 哈尔滨 小波分析
移动群智感知系统中基于离散布谷鸟搜索算法的任务分配,杨正清 周朝荣 袁姝,《计算机应用》,年  卷 期：2019年第39卷第9期,[工学-自动化类],移动群智感知 任务分配 初始成本 软时间窗 任务优先级 离散布谷鸟搜索算法
基于Qt的天气雷达数据处理软件系统设计及实现,魏玮 高必通 杜宇飞 倾鹏程 龙桂才,《成都信息工程大学学报》,年  卷 期：2019年第1期,[工学-电子信息类],新一代多普勒天气雷达 双线偏振雷达 Qt 数据处理软件 基本数据产品 衍生产品
基于气象要素的气溶胶吸湿增长分析:以浙江省为例,祝好 王永前 陶金花 张自力 王子峰 曾巧林 陈良富,《气候与环境研究》,年  卷 期：2019年第24卷第2期,[工学-环境科学与工程类],气溶胶 吸湿增长 气象要素
基于人工引雷实验的闪电通道附近带孔缝金属机箱耦合仿真研究,巴文学 欧建芳 丁洁 陈雪 张红萍,《智能城市》,年  卷 期：2019年第5卷第3期,[工学-电气类],磁场屏蔽 雷电防护 电磁场分析
GLASS、MODIS和GlobAlbedo反照率产品在青藏高原典型高寒草地的适用性评估,安颖颖 孟宪红 赵林 李照国 吕世华 马御棠,《高原气象》,年  卷 期：2019年第38卷第1期,[理学-大气科学类],地表反照率 GLASS MODIS GlobAlbedo 评估
1961-2016年长江源区径流量变化规律,罗玉 秦宁生 周斌 李金建 刘佳 王春学 庞轶舒,《水土保持研究》,年  卷 期：2019年第5期,[工学-水利类],长江源区 径流 年际变化 年代际变化 年内变化
极端天气的数值模式集合预报研究进展,高丽 陈静 郑嘉雯 陈权亮,《地球科学进展》,年  卷 期：2019年第34卷第7期,[理学-大气科学类],数值模式 集合预报 极端天气 概率预报 检验 预报订正
基于FY-3C/VIRR卫星数据重庆植被覆盖度时空变化研究,杜宝隆 杨世琦 王永前 高阳华 张强,《成都信息工程大学学报》,年  卷 期：2019年第1期,[理学-地球物理学类],3S技术 遥感 FY-3C/VIRR数据 植被指数 植被覆盖度 重庆市 像元二分模型
烤烟移栽期干旱监测评估模型研究及在攀西地区的应用,张玉芳 刘琰琰 杜成勋 肖国杰,《西南农业学报》,年  卷 期：2019年第32卷第2期,[农学],烤烟 移栽期 干旱监测
基于遥感数据的秸秆焚烧源排放清单及时空分布特征,张思 刘志红 佟洪金 马思源 王楚钦,《环境科学研究》,年  卷 期：2019年第32卷第4期,[工学-环境科学与工程类],遥感数据 秸秆焚烧源排放清单 时空分布
基于GAM模型的四川盆地臭氧时空分布特征及影响因素研究,胡成媛 康平 吴锴 张小玲 王式功 王紫潇 欧阳正午 曾胜兰 向卫国,《环境科学学报》,年  卷 期：2019年第39卷第3期,[工学-环境科学与工程类],臭氧 四川盆地 时空分布 气象因子 GAM 模型 预测
一次东移型西南低涡引发的强降水诊断分析,蔺邹兴 华维 范广洲 吴秋月 李佩芝 王星,《成都信息工程大学学报》,年  卷 期：2019年第34卷第4期,[理学-大气科学类],大气科学 中尺度气象 西南低涡 暴雨 非地转湿Q 湿位涡 诊断分析
上海南汇WSR-88D双偏振天气雷达的生物回波识别与分析,朱轶明 马舒庆 杨玲 吴东丽 杨大生 张晋广 袁健 李洋 卢秉红,《气象与环境科学》,年  卷 期：2019年第42卷第3期,[理学-大气科学类],WSR-88D 生物回波 模糊逻辑算法 双偏振雷达
基于FY-3A/VIRR数据的藏西北干旱遥感监测研究,曾林 扎西央宗 冯文兰 牛晓俊 扎西欧珠 拉巴卓玛,《冰川冻土》,年  卷 期：2019年第41卷第2期,[理学-大气科学类],FY-3A/VIRR EOS/MODIS 干旱监测 温度植被干旱指数(TVDI) 藏西北
中国设施农业气象服务现状与前景分析,吴佳浩,《中外企业家》,年  卷 期：2019年第13期,[农学],设施农业 气象灾害 气象服务 现状
近36a来四川盆地持续霾事件特征及环流分析,罗玉 马振峰 赵鹏国 卿清涛 孙彧 刘佳 李小兰 孙蕊,《中国环境科学》,年  卷 期：2019年第9期,[工学-环境科学与工程类],四川盆地 持续霾事件 环流特征
雷暴云顶和低电离层之间的大气放电现象研究进展,杨静 何其佳 钟丽华,《气象与环境科学》,年  卷 期：2018年第41卷第4期,[理学-大气科学类],瞬态发光事件 雷暴 闪电
基于SPEI的四川省盆地区季节性干旱时空变化特征分析,张菡 张喜亮 李金建 王明田 麻泽龙,《干旱地区农业研究》,年  卷 期：2018年第36卷第5期,[农学],季节性干旱 SPEI指数 时空分布 四川省盆地区
5月青藏高原上空环流与北疆夏季降水的关系,周雅蔓 李娜 马超 安大淮 施俊杰,《沙漠与绿洲气象》,年  卷 期：2018年第12卷第5期,[理学-大气科学类],西藏高原环流指数 环流异常 夏季降水 新疆北部 热力作用
颗粒物分界层Mie散射激光雷达识别的sigmoid算法,朱育雷 倪长健 邓佩云,《中国环境科学》,年  卷 期：2018年第38卷第10期,[工学-环境科学与工程类],颗粒物分界层 过渡区 大气消光系数 sigmoid函数 逆温层
北京一次重污染过程的天气成因及来源分析,崔萌 安兴琴 范广洲 王超 孙兆彬 任文辉,《中国环境科学》,年  卷 期：2018年第38卷第10期,[工学-环境科学与工程类],北京地区 重污染过程天气成因 敏感性分析 GRAPES-CUACE伴随模式
重庆市主城区雾霾天气过程的污染特征分析,郭洁 李牧原 周国兵 李国平,《高原山地气象研究》,年  卷 期：2018年第38卷第3期,[理学-大气科学类],重庆市主城区 雾霾天气过程 大气污染
四川盆地南部一次持续性雾霾过程的特征及成因分析,ZHOU Xianghua NI Changjian TAN Guirong,《高原山地气象研究》,年  卷 期：2018年第38卷第3期,[理学-大气科学类],四川盆地 雾霾 气象成因
川西高原冰雹特征及天气形势分析,武敬峰 张永莉 赵巍燃 邹玲,《高原山地气象研究》,年  卷 期：2018年第38卷第3期,[理学-大气科学类],冰雹 时空分布 环流形势 L波段探空 物理量特征
1522强台风“彩虹”螺旋雨带中衍生龙卷的超级单体演变与机理研究Ⅰ:谱宽和速度,王炳赟 魏鸣 范广洲 杜爱军,《热带气象学报》,年  卷 期：2018年第34卷第4期,[理学-大气科学类],台风 超级单体 中气旋 龙卷 谱宽 湍流 径向速度
1522强台风“彩虹”螺旋雨带中衍生龙卷的超级单体演变与机理研究Ⅱ:回波结构和钩状回波形成机理,王炳赟 魏鸣 范广洲 杜爱军,《热带气象学报》,年  卷 期：2018年第34卷第4期,[理学-大气科学类],台风 超级单体 钩状回波 涡旋 Bernoulli 流体力学
四川省主要农业气象灾害及其防御对策,黄茜 鲍文,《现代农业科技》,年  卷 期：2018年第13期,[农学],农业气象灾害 防御对策 四川省
2012年7月29日~30日宁夏中北部区域暴雨落区的动力诊断分析,王巍 毛文书,《地球科学前沿（汉斯）》,年  卷 期：2018年第8卷第5期,[理学-大气科学类],暴雨 垂直螺旋度 湿位涡 诊断分析
灾害视角下政府应急管理能力的重构--基于突发性暴雨对旅游的影响,黄萍 孙艳玲 慕建利 丛日玉 韩丽琴,《阅江学刊》,年  卷 期：2018年第10卷第2期,[管理学-旅游管理类],灾害天气 突发性暴雨 旅游应急管理 旅游大数据 旅游气象信息共享
近54年抚松县气候变化特征分析,段明国 王伟,《农业科学（2630-4678）》,年  卷 期：2018年第1卷第2期,[农学],气候变化 气候趋势倾向率 特征分析
前期热带太平洋次表层海温异常与东亚夏季风的可能联系,郭胜利 李锋 葛非,《大气科学学报》,年  卷 期：2018年第41卷第1期,[理学-海洋科学类],热带太平洋 次表层海温异常 ENSO 西北太平洋异常反气旋 东亚夏季风
昌吉地区-次春季强寒潮天气分析及数值模拟,纪策 徐枝芳 彭敏 李泽椿 肖昕,《沙漠与绿洲气象》,年  卷 期：2018年第12卷第1期,[理学-大气科学类],寒潮 等熵面位涡 数值模拟
气象舒适条件对呼吸系统疾病的影响,MA Pan WANG Shi-gong SHANG Ke-zheng LI Tan-shi YIN Ling,《中国环境科学》,年  卷 期：2018年第38卷第1期,[工学-环境科学与工程类],呼吸系统疾病 气象条件 舒适度 多要素综合效应 滞后性
北京春季PM2.5变化特征及污染过程的对比分析,WANG Qianqian HU Wenbin LIU Xiaoran ZHANG Jianda,《河南科学》,年  卷 期：2018年第36卷第12期,[工学-环境科学与工程类],大气污染 气象条件 空气细颗粒物(PM2.5) 北京地区
北方降雪与南方降雪的雷达回波特征对比分析,古庆同 李瑞义 孙晓光,《黑龙江气象》,年  卷 期：2018年第35卷第4期,[理学-大气科学类],北方降雪 南方降雪 新一代天气雷达 降雪回波特征
陕西关中地区一次重污染天气的气象条件分析,胡文斌 王嘉鑫 李文榜 王式功,《环境科学与技术》,年  卷 期：2018年第41卷第3期,[工学-环境科学与工程类],空气质量 AQI 关中地区 气象条件 烟花爆竹
气候变化对牧草生长发育的影响研究综述,Li Xiazi Zhao Fang Lin Weinan,《中国农学通报》,年  卷 期：2018年第34卷第25期,[农学],牧草生长 气候变化 影响机理 牧草资源利用 研究进展
